clusters_sp,clusters_km,distance_km,clusters_gm,scores_isf,distance_knn
bkZVphD4miecxL2PalLi8w,0,0,,3,0.11913853521,5.0
oMBNvB6tHlwW3UwGBYqljw,0,1,,2,0.0904040506996,8.34241679265
34VuBMNaG9nJiyqsnoEgPg,0,0,,0,0.08756478513,7.92820323028
1qkKfqhO8z2XMzLLDFE96Q,0,1,,1,0.00813184604849,11.3711154406
3vta1BSPwdSulcCFMpBjDw,0,1,,2,0.0284043324545,9.73205080757
60qcZ_mzu-IP82GtANZ6lw,0,0,,3,0.0939589370018,8.34241679265
erpMXkhBRNAwfXYfqIaC6Q,0,0,,3,0.069835398163,10.4402547401
gogO5RF4Rqz2THF1ATcCew,0,0,,0,0.124158047721,6.65685424949
EB0vzUuimM2nRXND5VJkIw,0,0,,3,0.165696447494,2.0
jPQxZTuFhuVHsu-DI4hm2A,0,1,,2,0.0957575409736,8.29252873988
QS3QxI7u5PRdtbGgI0-UsA,0,0,,3,0.129225973681,6.65685424949
z9KxcVoe6tQGyB_Zy0Umcg,0,1,,1,0.0575403564882,9.70016959264
R1oI13c1oNxE91wkjYDeow,0,0,,3,0.152744338771,5.24264068712
FsCujpVh9Za2Dl5MIYLCxA,0,0,,0,-0.00279706578639,11.1576936753
GUyrT0FO-YBAmvGNH0653w,0,1,,1,-0.0231751521928,11.7807987741
qAbXHsddBhmfQFegGiV7Dg,0,1,,2,0.107768260929,7.70674230226
yCK1Ok69D7TSWJESZQZHiQ,0,0,,3,0.00970847098435,11.8206051833
CUivTcULsu5MJIYYNVm1zw,0,0,,3,0.0770245677058,9.46410161514
NJ0RzuWd5xDqfJejYQZ65g,0,0,,0,0.00970772178562,11.6071834181
dA7ORbBrCdxoMlvn3I6JDA,0,0,,0,0.0692537067494,11.1803398875
W_2SaN0xzmH0WjScED4a4Q,0,1,,2,0.00456839320296,11.8206051833
GWnhc3MO4XjsKIpyExV--Q,0,0,,3,0.15411885405,6.65685424949
DwP10iEz5LGf3fhcVQZm0Q,0,0,,0,0.0165349884914,10.7455225937
u2q_84hHvKGl5hKnAE7zNw,0,0,,3,0.146812903173,5.82842712475
B-pELAaG6vPfa3eQAUk98A,0,1,,1,0.037356355213,8.87831517751
S-oLPRdhlyL5HAknBKTUcQ,0,0,,3,0.114535138378,8.61036598508
kO1-ZswCgQak2beKUMaYRw,0,1,,2,0.116140452262,7.70674230226
SMXmELJ8jFBPDq3VWRlLeQ,0,0,,3,0.12842736907,5.24264068712
Xfod0UWr_9B-TOM6qxVIwQ,0,1,,2,0.0826454289336,8.92820323028
JQwMRgCMZJhIDxec1z7URQ,0,0,,3,0.143049862247,6.65685424949
8CRXSMiyTR9DOMOdrTDRUw,0,0,,3,0.165040509218,0.0
2r6UD7ExSMrK0LGeglquDA,0,0,,0,0.0791223007568,9.73205080757
H_yoEB8N8CeABPuLMFWEzQ,0,0,,3,0.141536926283,7.38890505706
YrtAT1B8aFp5dKNss1ICbw,0,0,,3,0.165696447494,2.0
ecJri9ozyke4dOCWulZiRQ,0,0,,3,0.151233876237,6.65685424949
gBEWJ4b2OvUmN4Oh7ju3hw,0,0,,3,0.12247626445,6.65685424949
oZcbn7ENit23xbCsyu9xbA,0,0,,0,0.0817840389215,10.0
BWgXFbRqrPKci7C1__6BXg,0,1,,2,0.0933197435346,9.19615242271
U5ZlFP1kBFzlmnaIn1f9sQ,0,0,,3,0.167695232063,0.0
gcNC4k7TZJVX_1YHdIkDNQ,0,0,,3,0.151806395502,5.0
ivAe-BA1y3DOyRUKHdPnQA,0,0,,3,0.118955604223,7.70674230226
K3J4zvnQ_G1d5xfffPf2Wg,0,1,,1,-0.0184665672812,13.032494987
MBsIf01fcA8Vy7vCMMKf2A,0,0,,3,0.163735791249,5.0
yqYtY3-Po4OVPafA9Z-Xyw,0,0,,0,0.0850997780618,8.34241679265
XC06xxb7FFYsXcI2E38IIw,0,0,,0,0.0723602284412,10.0
hNLgrdd0QC3qLbD4tOHHVQ,0,0,,3,0.130741348326,7.07106781187
35Z23ZztQCsJdASRbU69Vg,0,0,,3,0.128918523111,5.0
