clusters_sp,clusters_km,distance_km,clusters_gm,scores_isf,distance_knn
hqvqLihniz0ynit9c36JHg,0,1,,3,0.109087968578,7.70674230226
wYrkCpUlxhb89nnNGUX4AA,0,1,,3,0.101827470825,8.02457954745
Dcu698L9WArPRc9mAYrAzA,0,1,,3,0.115279508596,7.38890505706
GkRF8rSvh9cOQuuPeDh9bg,0,1,,3,0.159101987917,2.0
EHIUp6lUabQCtQ4SVZitQw,0,1,,3,0.0627811947338,9.19615242271
_8VkSb_Mryb6bHQxSWB7Pg,0,1,,3,0.129176520349,6.24264068712
_RiwESa2w64ls6y_5tE4CA,0,0,,0,0.0354713761087,9.96811878507
vOMDU31gdylrzBhAKC9QbA,0,1,,2,0.0595882642,11.1803398875
9UVkAmyodpaSBm49DBKFNw,0,0,,0,0.0724351830399,7.92820323028
RSOinkOUpxm0mGw1IWr4Xw,0,2,,1,-0.00523555927002,12.2302885169
gBfPyzPRmeOaj3SdcIj0Rw,1,2,,1,-0.0406197317308,11.6071834181
dxeu5YQIzw0jOp1cSVkimg,0,1,,2,0.0754259503613,8.66025403784
9U4Tqt5SkZKQ6eeH6IPSxQ,0,1,,2,0.111226615283,6.24264068712
5xdKUuu4DbJ71KGbwRXfFg,0,1,,3,0.0873509726486,5.97469149469
ARohEoxqg8TzA5gQfdGAZw,1,2,,1,-0.00962768250265,12.0340269486
vRFYqRz5F41ici5IOO2_pg,0,0,,0,0.00890452464898,9.65028153987
jX9DocoiY4Bo9EUkaTSqvg,0,0,,0,0.0299309551673,10.6763227176
LEzaRCdhDfO2eM75HZNnUQ,0,1,,3,0.0569561243361,8.61036598508
aNGcHb8rjFFI9nY_fUgImg,0,2,,1,-0.0117697189589,12.6228116535
mIzlYJ0n8cXIHs1JiPN8kg,0,0,,0,0.0328531138616,9.41421356237
V1EdIokE0YYN__dNYfXRdA,0,0,,0,0.0800425576467,7.70674230226
78XbdLi5e42XDxgnxuYacg,0,1,,2,0.122205512932,5.41421356237
-RJ216TTIghZshCkUlD1WQ,0,1,,2,0.0937273289252,8.34241679265
grlL6zmHBOer9rPycsRhBA,0,1,2.51275604877,3,-0.00267700529558,12.6228116535
EZQESVzkOPs7LwCHVC3Szg,1,2,,1,-0.0285728474663,8.61840032494
T419Y3fiJW9EuFDkFougVA,0,2,,1,-0.0194275504112,12.8362334188
ghVhlFpNhfBwWDFGSlt2JA,0,1,,3,0.0990028528696,6.65685424949
EyoTq9dd4oKXhXND_imOzA,0,0,,0,0.0460634609542,8.34241679265
YYzHvjD16a8Vn6AeaWBKJg,0,0,,0,0.0273570857579,10.7082039325
oudIKQI8HjqJqiF9pnMmQw,0,1,,3,0.0985516631192,6.65685424949
Fv4EXwV30rwGD2NzN1ekgA,0,0,,0,0.0205018774192,10.7082039325
dtqT51H8Q8mIvrLylVuiZg,1,0,,0,0.0289431880661,8.56047793232
Er5XAY2UFGGqBHdqpeCFkA,1,2,,1,0.0345411408325,12.0340269486
Q3c9S0GOZpuBQkwXeXvo0Q,0,0,,0,0.0453925588265,9.93623757014
sqRX-XLlhx4rs2c1TpBf8A,0,2,,2,0.024718705684,9.96347458781
arv3T_av9OoVo3SvxV4TXw,0,1,,3,0.128015790694,5.65685424949
iqQEH6olFhpqwZjFRRFmuA,0,1,,3,0.152651931521,4.0
DzKl51tivGJMLiNsQqf38w,0,1,,3,0.0938428661452,8.34241679265
5JjGTaZkHbbjBrzBODcsAQ,0,1,,3,0.159101987917,2.0
IVnGPHdTyu_GbLo9mXj98w,0,1,,3,0.103046333515,8.66025403784
YTCCJ3ShO-zg0dlx1nk6dw,1,2,,1,-0.0652520310214,11.1178872661
mS_dBSMFiDJn4UVc0iv6Hg,0,0,,0,-0.00972441887038,10.472135955
BdzJQypceJ5Bam2P7egoiw,0,0,,0,0.0436348208653,9.46410161514
UPIYuRaZvknINOd1w8kqRQ,0,1,,3,0.0873509726486,5.97469149469
DkZuVzYuylBanEsWK7mNGw,0,1,,3,0.0957658285872,7.70674230226
ugLqbAvBdRDc-gS4hpslXw,0,1,,3,0.148051152473,4.0
MXC9pwIxovWUc9yu1F8OxA,0,1,,3,0.140717219749,5.82842712475
YI08egmS9lWWB6N6MmrePw,0,0,,0,0.111474010579,7.07106781187
eR7Iw_X54m3YLWkXp9y35Q,0,1,,3,0.123051292624,8.34241679265
DA-ddRqcReCe_DcXKicvsQ,0,1,,3,0.099695430311,7.29252873988
7sb2FYLS2sejZKxRYF9mtg,0,1,,3,0.108500146373,7.38890505706
7gdpCYPKkQqfiWDoTQnHgQ,0,0,,0,0.0388883656751,9.73205080757
q-zZgXKAQFLEgMp9ZNllgQ,0,1,,3,0.0923279993256,7.38890505706
dEAk-gE-5Q95a7p91gNn8A,0,1,,2,0.133969956127,4.24264068712
vdOf_NWsct8jr4qYKoE_iw,0,1,,3,0.145401776574,6.24264068712
rbQOcy2n8dBPpm5ua3VU_Q,0,0,,0,-0.0187113170814,10.6763227176
IhYo9Szx_gPDfNOcz5-8DQ,0,0,2.96333410649,0,-0.065240835059,14.7987337561
PChG1Dm0A6AXIXkXGVK8Fw,0,1,,3,0.139258210681,5.0
mO786Fl-KJV82FrW00RzBw,0,0,2.76268218521,0,-0.0586504460209,13.7656810579
82YGtjc5KKikNiqBZ33qzw,0,1,,2,0.0950322661376,7.38890505706
7vHvQCjPq5pWj7Rio1A--w,0,1,,3,0.159101987917,2.0
O3OH5IEFMPtz7mPKakPZ3Q,0,1,,3,0.0335839421302,9.14626436994
wWuGa3OOQJro_XGe-GKBXA,0,2,,2,-0.0161559267815,10.5694194897
xM37qm9Wbc-hOAS7-Xse7g,0,1,,3,0.098811504814,7.07106781187
-DnaKAs2oK3rXfrjSvn9ew,0,0,,0,0.0551705550742,9.46410161514
7wHLFohwCw8l6WS-feLjeg,0,1,,2,0.0284172979613,10.94427191
xR7t4xCYRYEe1RjpYjBbkw,0,1,,2,0.0933110445026,8.02457954745
Cy8XYYDrZ5wd3Bq-toXMsg,0,1,,2,0.0496417039009,9.70016959264
BjrKNWhtQkedHw8hP_0Bjg,1,0,,0,0.0205680303412,9.03261388731
Jx1q_S8-T4RXuhf7P_ZuIQ,0,2,,1,-0.0406838871769,13.2015850461
eJPckkV1k7gn0V2awA1pzA,0,0,,0,0.0664629217853,8.34241679265
lmxA0dJM0XsPCIHPXhEQ-g,1,2,,1,-0.0244514048262,12.2131283199
ugGqbJFuVs4pEyrvDS1TYQ,0,1,,2,0.0587850051373,9.46410161514
burnDlH36FSphvf4vQf10w,0,1,,3,0.0878307413599,6.97469149469
aYyj9OdH059CoEXadmldXA,0,2,2.79779634697,3,-0.0391724264849,14.1421356237
yU34swtpTS8-SMjeLIEFcQ,0,0,,0,0.0943010854112,7.70674230226
1nF8Me63cpxIkFK8Ysx-DA,0,1,,3,0.094008651658,7.38890505706
FPAOrUsP7GuIyqmK9UoPUQ,0,0,,0,0.056114166592,9.41421356237
XKo3y41cF6euqS7I6AX_1Q,0,0,,0,0.0413396508662,10.4402547401
NTtLuuBKpywlyIz6oyd9kg,0,1,,3,0.081663243535,8.92820323028
0xvdC8F0HmFpAFkJk6nXLg,0,1,,3,0.0861834073042,8.66025403784
D6K3VT6S8FwFm4u5uN8T8g,0,1,,3,0.121443319018,6.24264068712
H1NqpoM2hT_A6M98PSrZvw,0,0,,0,0.0510908826357,9.46410161514
Vs7gc9EE3k9wARuUcN9piA,0,1,,3,0.128015790694,5.65685424949
gx2yPrOJSwF1ApJYdGBWIw,0,1,,3,0.120751603612,6.24264068712
NIOwzgujIXKVBEVNTQBXpg,0,1,,2,0.0386917697684,9.41421356237
z_46RY-L3vcMrH3-wxCp9w,0,0,,0,-0.00133176084271,11.8206051833
3xykzfVY2PbdjKCRDLdzTQ,0,1,,2,0.131637017875,4.82842712475
nrahyQyopCtajDqUtVVVfA,0,1,,3,0.159101987917,2.0
DIxgItsSI9QwX9H8lVptYg,0,0,,0,0.0324899474313,10.2041867626
