clusters_sp,clusters_km,distance_km,clusters_gm,scores_isf,distance_knn
_RiwESa2w64ls6y_5tE4CA,0,0,,0,0.0645837372209,10.4402547401
SLx-vB9LnRtC83oAeVdAuA,0,1,,1,0.0147221693926,12.9881632808
Lzg7YuoP1SDyg2S5lvBvhg,0,2,,0,0.0420360306,10.94427191
pH0BLkL4cbxKzu471VZnuA,0,1,,1,0.0209218237575,11.3912739048
PYIk6aWfw8B8bO1mTn2rpQ,0,1,,1,-0.0179272294504,12.6228116535
9UVkAmyodpaSBm49DBKFNw,0,0,,0,0.106263388359,7.61036598508
BjRi5W4tESsLRwVb85GIMQ,1,1,,1,0.0341187133941,10.4176085279
0VjHFdczi6Nln_nn8bucJQ,0,2,,0,0.132924370882,7.38890505706
kICgNgVRkIh4doz0atyMMA,0,1,,1,-0.049992522035,10.4775734013
r05kbKriZ3Z56Nre1WQIDg,0,2,,1,0.0360776666842,13.2287565553
tA5mqEP68qjbTFK9c14D7A,0,2,,0,0.107426401745,10.0
XsSgv3vBOyOBXn3Co8EVIg,0,2,,0,0.0745802425483,8.34241679265
UTXNr62dGSK-tet8OeXUcQ,0,2,2.75828906664,0,-0.0301976281272,14.3026055606
Fanu7vgveGy1LyLV8R9aMA,0,1,,1,-0.00962837449698,12.7747415156
jX9DocoiY4Bo9EUkaTSqvg,0,0,,0,0.064668299262,10.4402547401
C5azlhXSTOlqVAM3nl95nw,0,2,,0,0.131628485549,7.07106781187
yhgOJXJd_XAU-8jIvcfq0g,0,1,,0,0.0604162657433,10.0
AtD6B83S4Mbmq0t7iDnUVA,0,2,,0,0.0932419731064,9.73205080757
x-H-2BYL2XoDDLiub950Ag,0,1,,0,0.0482401463608,9.73205080757
Ec9CBmL3285XkeHaNp-bSQ,0,2,,0,0.017006208523,12.2474487139
IRbgMt0cVuzK1KSppU16_Q,0,1,,1,-0.0517901440583,10.8897444829
3pSUr_cdrphurO6m1HMP9A,0,1,,1,-0.0482958029307,14.8284271247
4UvQ0BUbqlNPJbAggsi0eA,0,1,,1,0.054296780369,9.73205080757
SJU-jRAZS0cXoBGUjX5GUg,0,2,,0,0.0745495639333,10.94427191
omMiNDhPYAX4TPfv4xrBLQ,0,0,,0,0.0743304876039,9.19615242271
7BZ2NdkysVLgWScSEvhILQ,0,2,,0,0.0247688183159,11.3937616528
T419Y3fiJW9EuFDkFougVA,0,1,,1,-0.0214701969761,13.5805224281
ZuNJelvkJD4wsXNBRg6t5w,0,2,,0,0.140763264488,6.24264068712
dWw7M_JsAVUprR86--89ZA,0,2,,0,0.0603907735692,11.1803398875
EyoTq9dd4oKXhXND_imOzA,0,0,,0,0.0790473693354,8.34241679265
YYzHvjD16a8Vn6AeaWBKJg,0,0,,0,0.0510772109042,10.2041867626
-CQokjildrY7UZezXCdEBw,0,1,,1,-0.0345215486538,13.5386735381
gWeYW0E5Tfmmj_9fugfLNw,0,0,,0,0.127179528013,5.24264068712
yBxzqKXHhvNVaFnEOd4f7Q,0,0,,0,0.133971610374,8.66025403784
0i9S0BejjRv0ZDwdO9XymA,0,0,,1,0.0269155058852,12.0340269486
MyTsAeShB9pcWP84GSTAdw,0,2,,0,0.13424146023,5.82842712475
Fv4EXwV30rwGD2NzN1ekgA,0,0,,0,0.0566578526585,11.1576936753
3TRgD3KLVis61eGvMZrykA,0,2,,1,0.0857827814893,10.94427191
Rv1IiQaIIDunqzS8dSvHCw,0,0,,0,0.132203161671,7.70674230226
l3joBBpkq0ib11dKUpKMAw,0,2,,1,0.0267607915563,12.6228116535
Er5XAY2UFGGqBHdqpeCFkA,0,1,,1,0.0222304385261,11.9225329153
IBNWrN1k9E0E_bMcRD-GwA,0,0,,0,0.107385220406,9.46410161514
arv3T_av9OoVo3SvxV4TXw,0,2,,0,0.142358409228,4.82842712475
IZivKqtHyz4-ts8KsnvMrA,1,0,2.57647412639,1,-0.00559780786506,10.0951319083
jScBTQtdAt-8RshaiBEHgw,0,0,,0,0.030540310493,11.5845372058
Qn_mBXvKnn9VeOKym0Ussw,0,2,,0,0.101546965087,8.61036598508
aD0EslPREWGDlSpD0RMlEg,0,0,,0,0.104039814054,7.38890505706
IS_IWMsFRJii__17LsP1Og,0,2,,0,0.136437493726,6.24264068712
V-0qRzBHKixmQgon_fW_AA,0,0,,0,0.123625402444,6.24264068712
uTn8bL6sabHD2916u5mvkA,0,0,,0,0.0961124208337,10.472135955
HUwzarG0givckxXWTF5lIQ,0,0,,0,0.0674166974497,11.3711154406
Os1n1_idfw9vv9kwULGJnQ,0,2,,0,0.139575472307,5.82842712475
X5uxdU9GHoUAqo2wmbg3OQ,0,2,,0,0.101646086471,8.34241679265
IQnUxhO7oieEP7-5ZVJ4uA,0,1,,1,0.0140400486201,14.1421356237
mS_dBSMFiDJn4UVc0iv6Hg,0,0,,0,0.0242684999846,9.46410161514
BdzJQypceJ5Bam2P7egoiw,0,0,,0,0.0822361134937,9.46410161514
wNya6ItPXXde2ulzm_tNQw,0,0,,0,0.0653648962121,10.0
YI08egmS9lWWB6N6MmrePw,0,0,,0,0.127179528013,5.24264068712
tv-WIUQifcp5J9pUKoiE3Q,0,0,,0,0.0618227431192,9.65028153987
68jn0s0snbO5dhasLaVvDw,1,0,,0,0.087402486405,9.19615242271
8FUzCm4Q13MJMX7N6ftmQw,0,2,,0,0.14699768999,4.41421356237
1Df5WnLX3DqN6ymlhqznaQ,0,1,,1,0.00351204906745,13.0017490354
EQDJVVIgenbyNZpRcqUWcw,0,0,,0,0.11040054036,8.66025403784
kIYJfoODzS2PA9VzFxo8DQ,0,0,,0,0.0494815698973,9.96811878507
rbQOcy2n8dBPpm5ua3VU_Q,0,1,,1,0.0119561753101,10.94427191
nbVtxapTeq5HELUeNRgc6w,0,1,,0,0.106179506665,9.73205080757
7sPNbCx7vGAaH7SbNPZ6oA,0,2,,0,0.100922764018,9.14626436994
yYMTMtguT90BfMJVxasFuw,0,0,,0,0.147600759873,4.0
A5Rkh7UymKm0_Rxm9K2PJw,0,2,,0,0.0202715119141,12.4265500852
WRQ-9LluyivReFiQZFUujw,0,0,,0,0.109342111682,6.24264068712
O3OH5IEFMPtz7mPKakPZ3Q,0,2,,0,0.0635576218147,9.73205080757
xxAGaqYnboeR0SilS7DbAg,0,0,,1,0.0473508533683,12.4265500852
eJPckkV1k7gn0V2awA1pzA,0,0,,0,0.0997951164249,7.70674230226
JdoBiBRgeS_KKaNaU1sofA,0,2,,0,0.128551275604,7.07106781187
lmxA0dJM0XsPCIHPXhEQ-g,0,1,,1,-0.0187805221159,12.362570434
Cl-xl1vTUwHeaGgBxzdTRA,0,2,,0,0.111801150592,8.92820323028
PglC8rgguMIlT621p1BLdQ,0,2,,0,0.0970906645676,9.14626436994
Zua91nLoti4rx1VCkuIe6g,0,1,,1,-0.0188427069301,12.4977318655
pQ6e4fjq6kqRqLE6w8CfWQ,0,2,,0,0.139344095212,7.92820323028
beuVp5CZxCdNvQIIPBS2rw,0,2,,0,0.0623568464794,10.4402547401
FPAOrUsP7GuIyqmK9UoPUQ,1,0,,0,0.0780423879006,8.56047793232
-Uix-n4Jqo4W7ERagC5qAA,1,0,2.56890207773,0,-0.0136206516927,13.032494987
4JkGjRRc3XucG9U8XwthGg,0,0,,0,0.13523868869,5.82842712475
XKo3y41cF6euqS7I6AX_1Q,0,0,,0,0.0808241434495,10.0
0xvdC8F0HmFpAFkJk6nXLg,0,2,,0,0.0510950328052,10.0
ywtDqnrLeWzG7Q-9ORmSsA,0,0,,0,0.121607284847,6.65685424949
czyhvf93Txsfxdxqcm16mA,0,0,,0,0.147600759873,4.0
D6K3VT6S8FwFm4u5uN8T8g,0,2,,0,0.105825207221,6.97469149469
H1NqpoM2hT_A6M98PSrZvw,0,0,,0,0.0876094923216,8.56047793232
01VPJkcU0m8WzlA7dCEpVQ,0,0,,0,0.0840235955457,9.19615242271
Vs7gc9EE3k9wARuUcN9piA,0,2,,0,0.142358409228,4.82842712475
Gh1BoQNMGkh91pSHqvDRAA,0,2,,0,0.14699768999,4.41421356237
oyPvqoQhsdkfUeHtdPD7BQ,0,2,,0,0.134607285187,7.38890505706
DIxgItsSI9QwX9H8lVptYg,0,0,,0,0.0818620049537,9.19615242271
2reHgsuAWofHfocfJ4Xs5w,0,0,,0,0.0737520546425,9.14626436994
bM-rAr7gxsxxjD-FlRcIJA,0,1,,1,-0.0171598848095,14.6568542495
JPfi__QJAaRzmfh5aOyFEw,0,0,,0,0.0847055273487,9.96811878507
w5CSi-An5meLnxjKSFn0wQ,0,2,,0,0.106555931816,8.66025403784
